stop_name,Period,SWT,AWT,EWT,direction,succession,stop_id,distance,lat,lng
ABBAYE,07:00-09:00,194.4963195828861,252.50721543218967,58.01089584930361,1,6,5409,2176.0,50.818926,4.370739
ABBAYE,10:00-16:00,225.6600852272728,282.1459574468085,56.48587221953576,1,6,5409,2176.0,50.818926,4.370739
ABBAYE,16:00-19:00,181.5428571428572,189.4435328185328,7.900675675675671,1,6,5409,2176.0,50.818926,4.370739
ABBAYE,20:00-23:00,444.8466257668712,476.57750173215874,31.730875965287566,1,6,5409,2176.0,50.818926,4.370739
AUDERGHEM-SHOP.,07:00-09:00,210.57337883959045,217.8690264274956,7.295647587905108,1,24,5269,9846.0,50.816286,4.426179
AUDERGHEM-SHOP.,10:00-16:00,222.1367521367521,256.3191610515327,34.18240891478058,1,24,5269,9846.0,50.816286,4.426179
AUDERGHEM-SHOP.,16:00-19:00,191.78280542986425,214.2589161001956,22.47611067033131,1,24,5269,9846.0,50.816286,4.426179
AUDERGHEM-SHOP.,20:00-23:00,474.7728337236534,494.67580043213513,19.90296670848176,1,24,5269,9846.0,50.816286,4.426179
BAILLI,07:00-09:00,192.07421245421244,209.57144988066827,17.497237426455825,1,4,5404,1167.0,50.826837,4.364068
BAILLI,10:00-16:00,225.895468735219,263.79975996159385,37.90429122637485,1,4,5404,1167.0,50.826837,4.364068
BAILLI,16:00-19:00,180.3571428571429,187.86760873922628,7.510465882083423,1,4,5404,1167.0,50.826837,4.364068
BAILLI,20:00-23:00,444.8466257668712,470.2963747414048,25.44974897453364,1,4,5404,1167.0,50.826837,4.364068
BOITSFORT GARE,07:00-09:00,213.7255574614065,217.01391519743552,3.2883577360290133,1,17,5420,6718.0,50.795447,4.407814
BOITSFORT GARE,10:00-16:00,222.06703910614524,260.74231617474544,38.6752770686002,1,17,5420,6718.0,50.795447,4.407814
BOITSFORT GARE,16:00-19:00,188.3428571428572,202.717705686926,14.374848544068785,1,17,5420,6718.0,50.795447,4.407814
BOITSFORT GARE,20:00-23:00,459.11538461538464,464.5961977563784,5.480813140993803,1,17,5420,6718.0,50.795447,4.407814
BOONDAEL GARE,07:00-09:00,194.1818181818182,214.1339686967302,19.95215051491201,1,14,5416,5383.0,50.801169,4.393449
BOONDAEL GARE,10:00-16:00,222.30769230769232,281.034165602686,58.72647329499364,1,14,5416,5383.0,50.801169,4.393449
BOONDAEL GARE,16:00-19:00,187.93103448275863,211.36368832158507,23.43265383882644,1,14,5416,5383.0,50.801169,4.393449
BOONDAEL GARE,20:00-23:00,460.4191616766467,498.36675691355634,37.94759523690965,1,14,5416,5383.0,50.801169,4.393449
BRESIL,07:00-09:00,194.1818181818182,211.8824483775811,17.700630195762926,1,13,5415,5122.0,50.802634,4.390584
BRESIL,10:00-16:00,222.30769230769232,269.46472146032346,47.15702915263114,1,13,5415,5122.0,50.802634,4.390584
BRESIL,16:00-19:00,187.93103448275863,210.76944391362508,22.83840943086645,1,13,5415,5122.0,50.802634,4.390584
BRESIL,20:00-23:00,460.4191616766467,494.59795957837736,34.17879790173066,1,13,5415,5122.0,50.802634,4.390584
BUYL,07:00-09:00,191.7391304347826,229.846921322691,38.10779088790841,1,9,2397,3290.0,50.817442,4.380672
BUYL,10:00-16:00,221.4857142857143,260.8160204475309,39.330306161816594,1,9,2397,3290.0,50.817442,4.380672
BUYL,16:00-19:00,185.2325581395349,203.4757085020243,18.243150362489416,1,9,2397,3290.0,50.817442,4.380672
BUYL,20:00-23:00,462.8571428571428,480.4486823855756,17.591539528432747,1,9,2397,3290.0,50.817442,4.380672
CAMBRE-ETOILE,07:00-09:00,201.9642857142857,215.5208941465663,13.55660843228057,1,8,5258,2940.0,50.816489,4.377479
CAMBRE-ETOILE,10:00-16:00,224.57142857142856,261.8549034601415,37.2834748887129,1,8,5258,2940.0,50.816489,4.377479
CAMBRE-ETOILE,16:00-19:00,185.0561797752809,200.01794347341016,14.961763698129287,1,8,5258,2940.0,50.816489,4.377479
CAMBRE-ETOILE,20:00-23:00,444.3243243243243,488.98792477025006,44.66360044592574,1,8,5258,2940.0,50.816489,4.377479
COCCINELLES,07:00-09:00,194.1692307692308,238.4135110572554,44.24428028802461,1,16,5419,6274.0,50.796294,4.401659
COCCINELLES,10:00-16:00,222.30769230769232,263.4190159383526,41.11132363066025,1,16,5419,6274.0,50.796294,4.401659
COCCINELLES,16:00-19:00,187.99090038314176,199.18322317262832,11.192322789486552,1,16,5419,6274.0,50.796294,4.401659
COCCINELLES,20:00-23:00,459.5010005002501,481.59669605658365,22.09569555633351,1,16,5419,6274.0,50.796294,4.401659
DEFACQZ,07:00-09:00,191.716970052848,221.1830318690784,29.46606181623045,1,3,5406,933.0,50.828607,4.36228
DEFACQZ,10:00-16:00,225.83497350492053,251.77738224338725,25.942408738466725,1,3,5406,933.0,50.828607,4.36228
DEFACQZ,16:00-19:00,180.3448275862069,192.87064820157724,12.52582061537035,1,3,5406,933.0,50.828607,4.36228
DEFACQZ,20:00-23:00,444.8466257668712,474.018998527246,29.1723727603748,1,3,5406,933.0,50.828607,4.36228
DELLEUR,07:00-09:00,214.417950913242,232.2284927249612,17.810541811719133,1,18,5421,7127.0,50.795733,4.413573
DELLEUR,10:00-16:00,222.06703910614524,262.6830126263803,40.61597352023503,1,18,5421,7127.0,50.795733,4.413573
DELLEUR,16:00-19:00,188.44285714285715,200.99691629955947,12.554059156702325,1,18,5421,7127.0,50.795733,4.413573
DELLEUR,20:00-23:00,458.7075812274368,490.7767414169478,32.06916018951097,1,18,5421,7127.0,50.795733,4.413573
EMPAIN,07:00-09:00,214.6797603195739,226.655753968254,11.975993648680088,1,26,5271,10924.0,50.824976,4.431867
EMPAIN,10:00-16:00,222.1367521367521,265.9177185600748,43.78096642332264,1,26,5271,10924.0,50.824976,4.431867
EMPAIN,16:00-19:00,191.66231288523628,198.74369333858888,7.081380453352608,1,26,5271,10924.0,50.824976,4.431867
EMPAIN,20:00-23:00,472.9917824300528,478.40973257779103,5.417950147738225,1,26,5271,10924.0,50.824976,4.431867
FAUCONNERIE,07:00-09:00,212.67857142857144,224.82482460068667,12.146253172115252,1,20,5423,8033.0,50.801015,4.422699
FAUCONNERIE,10:00-16:00,222.4110320284697,255.7715690017179,33.360536973248145,1,20,5423,8033.0,50.801015,4.422699
FAUCONNERIE,16:00-19:00,190.9090909090909,208.3757330354649,17.46664212637404,1,20,5423,8033.0,50.801015,4.422699
FAUCONNERIE,20:00-23:00,459.1390728476821,470.1914702581369,11.052397410454772,1,20,5423,8033.0,50.801015,4.422699
HERRMANN-DEBROUX,07:00-09:00,210.0,220.71399535423924,10.713995354239245,1,23,5426,9335.0,50.811881,4.42782
HERRMANN-DEBROUX,10:00-16:00,222.53481894150417,252.3816779533484,29.8468590118442,1,23,5426,9335.0,50.811881,4.42782
HERRMANN-DEBROUX,16:00-19:00,192.0338983050848,219.9004280662572,27.866529761172472,1,23,5426,9335.0,50.811881,4.42782
HERRMANN-DEBROUX,20:00-23:00,459.1390728476821,501.1134508651649,41.97437801748271,1,23,5426,9335.0,50.811881,4.42782
HIPPOD. BOITSFORT,07:00-09:00,194.42564102564103,224.20378182913967,29.778140803498644,1,15,5418,5971.0,50.796898,4.397475
HIPPOD. BOITSFORT,10:00-16:00,222.30769230769232,255.7420911784383,33.43439887074598,1,15,5418,5971.0,50.796898,4.397475
HIPPOD. BOITSFORT,16:00-19:00,187.95555555555555,207.48622777886305,19.530672223307505,1,15,5418,5971.0,50.796898,4.397475
HIPPOD. BOITSFORT,20:00-23:00,459.8248700519792,478.7294935451837,18.904623493204497,1,15,5418,5971.0,50.796898,4.397475
LEGRAND,07:00-09:00,200.84745762711864,256.27240264115346,55.42494501403482,1,7,1047,2516.0,50.815959,4.371874
LEGRAND,10:00-16:00,224.9162011173184,270.422148714126,45.505947596807545,1,7,1047,2516.0,50.815959,4.371874
LEGRAND,16:00-19:00,182.4705882352941,194.95175089534425,12.481162660050105,1,7,1047,2516.0,50.815959,4.371874
LEGRAND,20:00-23:00,444.8466257668712,476.8068493150685,31.960223548197348,1,7,1047,2516.0,50.815959,4.371874
LOUISE,07:00-09:00,189.15254237288136,220.367461622807,31.214919249925657,1,1,6314,0.0,50.835673,4.355167
LOUISE,10:00-16:00,225.6818181818182,255.9353578447821,30.25353966296393,1,1,6314,0.0,50.835673,4.355167
LOUISE,16:00-19:00,180.3448275862069,187.16247703761,6.817649451403099,1,1,6314,0.0,50.835673,4.355167
LOUISE,20:00-23:00,447.4390243902439,469.31201378631215,21.87298939606825,1,1,6314,0.0,50.835673,4.355167
MARIE-JOSE,07:00-09:00,194.1818181818182,210.4973392461197,16.31552106430155,1,12,5414,4651.0,50.806384,4.387635
MARIE-JOSE,10:00-16:00,222.70194986072423,262.14036552555893,39.43841566483471,1,12,5414,4651.0,50.806384,4.387635
MARIE-JOSE,16:00-19:00,187.66666666666663,209.84064622728107,22.173979560614413,1,12,5414,4651.0,50.806384,4.387635
MARIE-JOSE,20:00-23:00,460.4191616766467,491.8803443606113,31.46118268396464,1,12,5414,4651.0,50.806384,4.387635
MUSEE DU TRAM,07:00-09:00,201.0280373831776,234.8329838226483,33.80494643947071,1,27,5272,11803.0,50.832329,4.432587
MUSEE DU TRAM,10:00-16:00,219.3854748603352,258.94078886310905,39.555314002773855,1,27,5272,11803.0,50.832329,4.432587
MUSEE DU TRAM,16:00-19:00,188.42696629213484,192.3965484271919,3.969582135057067,1,27,5272,11803.0,50.832329,4.432587
MUSEE DU TRAM,20:00-23:00,471.52941176470586,509.6474164133738,38.11800464866798,1,27,5272,11803.0,50.832329,4.432587
PARC DES SOURCES,07:00-09:00,206.3793103448276,206.32952548330405,-0.0497848615235341,1,28,5223,12376.0,50.837131,4.435076
PARC DES SOURCES,10:00-16:00,220.11428571428573,261.6828451081754,41.56855939388967,1,28,5223,12376.0,50.837131,4.435076
PARC DES SOURCES,16:00-19:00,187.5418994413408,200.8213644524237,13.27946501108292,1,28,5223,12376.0,50.837131,4.435076
PARC DES SOURCES,20:00-23:00,470.8282922517922,477.2644692045806,6.436176952788401,1,28,5223,12376.0,50.837131,4.435076
PARC SENY,07:00-09:00,210.0,214.20926517571883,4.209265175718855,1,22,2086,9028.0,50.80913,4.427589
PARC SENY,10:00-16:00,222.44542498838828,254.2503218686776,31.804896880289306,1,22,2086,9028.0,50.80913,4.427589
PARC SENY,16:00-19:00,191.2941176470588,202.81034825870643,11.516230611647645,1,22,2086,9028.0,50.80913,4.427589
PARC SENY,20:00-23:00,459.1390728476821,483.5694518645154,24.430379016833285,1,22,2086,9028.0,50.80913,4.427589
ROND-PT SOUVERAIN,07:00-09:00,213.7825571047167,261.6884402216944,47.90588311697772,1,25,5270,10250.0,50.819305,4.429092
ROND-PT SOUVERAIN,10:00-16:00,222.1367521367521,263.6504365983295,41.51368446157738,1,25,5270,10250.0,50.819305,4.429092
ROND-PT SOUVERAIN,16:00-19:00,191.5835063219476,214.14426656738644,22.5607602454389,1,25,5270,10250.0,50.819305,4.429092
ROND-PT SOUVERAIN,20:00-23:00,474.08107052158624,556.8851195421397,82.80404902055346,1,25,5270,10250.0,50.819305,4.429092
ROODEBEEK,07:00-09:00,204.73684210526315,221.7930413917217,17.056199286458508,1,31,5229,13845.0,50.847523,4.436331
ROODEBEEK,10:00-16:00,220.5586592178771,249.1533109963237,28.594651778446604,1,31,5229,13845.0,50.847523,4.436331
ROODEBEEK,16:00-19:00,187.80346820809248,195.9203734480399,8.116905239947414,1,31,5229,13845.0,50.847523,4.436331
ROODEBEEK,20:00-23:00,460.609756097561,478.6916589051019,18.081902807540928,1,31,5229,13845.0,50.847523,4.436331
SOLBOSCH,07:00-09:00,194.1818181818182,219.6315789473684,25.449760765550224,1,11,5413,4171.0,50.810501,4.385849
SOLBOSCH,10:00-16:00,221.4857142857143,261.2725554013306,39.78684111561629,1,11,5413,4171.0,50.810501,4.385849
SOLBOSCH,16:00-19:00,185.2325581395349,202.66050452532247,17.427946385787664,1,11,5413,4171.0,50.810501,4.385849
SOLBOSCH,20:00-23:00,460.4191616766467,478.9781445138269,18.558982837180224,1,11,5413,4171.0,50.810501,4.385849
STEPHANIE,07:00-09:00,189.15254237288136,214.5303071672355,25.37776479435413,1,2,5405,351.0,50.832985,4.357751
STEPHANIE,10:00-16:00,225.6818181818182,253.2609438959788,27.579125714160625,1,2,5405,351.0,50.832985,4.357751
STEPHANIE,16:00-19:00,180.3448275862069,181.32579338284944,0.9809657966425503,1,2,5405,351.0,50.832985,4.357751
STEPHANIE,20:00-23:00,444.8466257668712,466.3858271604938,21.539201393622648,1,2,5405,351.0,50.832985,4.357751
TENREUKEN,07:00-09:00,212.67857142857144,208.85980406709217,-3.818767361479246,1,21,2077,8574.0,50.805085,4.426719
TENREUKEN,10:00-16:00,222.55703043519483,260.6833372447782,38.12630680958338,1,21,2077,8574.0,50.805085,4.426719
TENREUKEN,16:00-19:00,191.2941176470588,211.45262738853503,20.158509741476223,1,21,2077,8574.0,50.805085,4.426719
TENREUKEN,20:00-23:00,459.1390728476821,487.4923044035913,28.353231555909133,1,21,2077,8574.0,50.805085,4.426719
ULB,07:00-09:00,193.44827586206893,247.0194202082747,53.57114434620576,1,10,5407,3751.0,50.814061,4.384119
ULB,10:00-16:00,221.4857142857143,260.6305144399981,39.144800154283786,1,10,5407,3751.0,50.814061,4.384119
ULB,16:00-19:00,185.2325581395349,203.46316953553227,18.230611395997386,1,10,5407,3751.0,50.814061,4.384119
ULB,20:00-23:00,460.4191616766467,466.94754829123326,6.528386614586566,1,10,5407,3751.0,50.814061,4.384119
VLEURGAT,07:00-09:00,193.5950254119821,239.59747723540823,46.00245182342613,1,5,5408,1679.0,50.82298,4.368042
VLEURGAT,10:00-16:00,225.6415246212121,268.9308645451985,43.2893399239864,1,5,5408,1679.0,50.82298,4.368042
VLEURGAT,16:00-19:00,181.5428571428572,199.48054437416133,17.93768723130424,1,5,5408,1679.0,50.82298,4.368042
VLEURGAT,20:00-23:00,444.8466257668712,470.0733240914942,25.226698324623044,1,5,5408,1679.0,50.82298,4.368042
VOOT,07:00-09:00,206.3793103448276,228.58738290398125,22.208072559153663,1,29,5225,12777.0,50.840564,4.436723
VOOT,10:00-16:00,220.11428571428573,268.60534096328087,48.49105524899514,1,29,5225,12777.0,50.840564,4.436723
VOOT,16:00-19:00,187.80346820809248,214.2315679176986,26.42809970960613,1,29,5225,12777.0,50.840564,4.436723
VOOT,20:00-23:00,470.3885174990169,483.9060683676485,13.517550868631588,1,29,5225,12777.0,50.840564,4.436723
WIENER,07:00-09:00,212.5210084033613,209.520979020979,-3.000029382382337,1,19,5422,7590.0,50.798194,4.418753
WIENER,10:00-16:00,222.30769230769232,253.40760947253065,31.099917164838303,1,19,5422,7590.0,50.798194,4.418753
WIENER,16:00-19:00,190.9090909090909,206.09312429165087,15.184033382560015,1,19,5422,7590.0,50.798194,4.418753
WIENER,20:00-23:00,459.1390728476821,473.65908841897664,14.520015571294492,1,19,5422,7590.0,50.798194,4.418753
WOLUWE SHOPPING,07:00-09:00,206.3793103448276,209.56634601782432,3.1870356729967284,1,30,5227,13243.0,50.844597,4.438395
WOLUWE SHOPPING,10:00-16:00,220.11428571428573,265.3550343905235,45.24074867623776,1,30,5227,13243.0,50.844597,4.438395
WOLUWE SHOPPING,16:00-19:00,187.80346820809248,212.70083404416644,24.89736583607396,1,30,5227,13243.0,50.844597,4.438395
WOLUWE SHOPPING,20:00-23:00,461.318928788801,480.06077376642185,18.74184497762087,1,30,5227,13243.0,50.844597,4.438395
